 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     36   297.034909069  1234.442162539 -1619.047974369   -847.616348006  -126.533845337  -622.710759373
     37   983.021092899   309.387804097   479.604442632    539.530167417    21.350714492   184.463247166
     38   -98.660326883  1094.279133561 -1487.929519839  -1254.824856458  -337.179117655  -572.280584553
     39  -122.786383184   947.943066817 -1384.240041230   -948.367673937  -124.729635475  -532.400015858
     40   -41.798153236   920.072757882  -983.951073190   -874.475732474  -134.575031614  -378.442720458
     41   201.681363682   830.966900194  -867.442431316   -626.655548301  -142.589750984  -333.631704352
     42   222.476758548   749.382633069  -234.152296219   -625.161681865  -219.849470694   -90.058575469
     43   803.019677824   439.815015814   526.052236071    176.299974519  -103.088227027   202.327783104
     44 -1171.178406550  3612.297321283 ***************   -292.053105972  3387.543607746 -7002.051107125
     45  5494.924849922 -7277.428725465 ***************   3436.267877268 -6388.619488415 -6127.347150440
     46  1527.906971600   332.660908310 -1693.790311234   1214.588956622   295.168907938  -651.457812013
     47  2300.498123142   236.455473699 -2367.932619556   2031.980187777   444.255072821  -910.743315214
     48  2687.395440090   430.097871279 -3249.981886298   2492.516977974   756.134232734 -1249.993033192
     49  2800.614383277   670.717208640 -4008.975467532   2646.506385907  1008.123943878 -1541.913641359
     50  1959.582298866   490.070590992 -1097.114690284   1545.179089398   414.785467956  -421.967188571
     51  2678.368178805  1254.379129386 -4489.019159845   2637.430125536  1542.053933675 -1726.545830709
     52  1563.142222757  -137.191560330 -1712.182336051    991.055867538  -316.893196376  -658.531667712
     53  2292.006225407  1482.776234405 -3668.301732057   2242.348752789  1619.864144325 -1410.885281561
     54   579.542509032   671.226007404  -267.931786817   -333.216978051  -262.691210073  -103.050687237
     55   777.813616142   787.593008618   -53.527610244    -48.197479820   -40.674870223   -20.587542401
     56   704.378384233   805.994060001  -121.555728372   -104.260630665   -26.094726228   -46.752203220
     57   634.733227284   391.930027790  -721.439692962   -380.724270540  -567.495962459  -277.476804985
     58   405.711850122   592.138555205  -676.168602983   -481.521101094  -338.115943339  -260.064847301
     59   413.383700165   737.857134936  -696.812875645   -429.648643344  -180.053693520  -268.004952171
     60   453.818010365   767.785712118  -730.390768891   -366.631771048  -125.118154315  -280.919526497
     61   585.298528347   665.256564108  -510.788653837   -254.531081741  -193.024900387  -196.457174553
     62   646.991998692   640.160534495  -402.482814338   -193.392217181  -198.647189640  -154.801082438
     63   655.116404338   662.129923469  -388.151167758   -175.021919892  -169.626905177  -149.288910676
     64  3432.995578096  -638.721814731   765.746633338   1972.760695162 -1159.329607012   294.517935899
     65  2546.823190993   493.115963696 -1637.914173323   1456.433315017  -123.341475212  -629.966989739
     66  1535.030632904  1057.480255662 -1721.600852333    582.312000694   214.965556661  -662.154173974
     67  1112.705236024  1334.873537608 -1187.842632053    210.670088605   381.568782131  -456.862550790
     68   838.019779334  1369.459116612  -554.801730496   -107.405288400   301.394201814  -213.385280960
     69   639.713314418  1322.942776240   253.781183692   -388.531118863   137.030005616    97.608147574
     70   584.923411424   992.039058508  1532.269710316   -623.674344843  -310.508462471   589.334503968
     71  1018.083239781   790.712922421  1462.344064785   -263.856842768  -438.757086891   562.440024917
     72  1425.040312769   312.398356683  1217.030982763     36.599244193  -819.279183565   468.088839524
     73  1870.622212141   497.275974690  -963.628400409    678.095286671  -378.324895983  -370.626307850
     74   661.857136652   847.217165309  -129.890169311   -125.863536871    16.721100558   -49.957757427
     75   644.715561408   869.181524062  -109.324533357   -130.191374901    42.474750218   -42.047897445
     76   641.455855868   878.080739148   -83.110404091   -125.716876912    56.302264073   -31.965540035
     77   645.085558623   880.436801086   -58.909514384   -117.214464739    63.824952540   -22.657505532
     78   655.294866262   862.860634884   -52.672963849   -108.915191333    50.750784530   -20.258832250
     79   644.433751104   956.331122901    48.511226353    -87.934405364   151.986649865    18.658163982
     80   356.967839474   345.677115909    71.381192464   -358.440564605  -367.125736578    27.454304794
     81   295.196880585  1634.067435092 -2646.347222872    446.084927521  1475.985354065 -1017.825854951
     82   -44.585672515   296.680742760  2613.707655014  -1098.192000858  -835.679373723  1005.272175006
     83   304.855484550   448.806907973  1585.612834718   -646.374508770  -535.642644599   609.851090276
     84   458.139413024   568.970745586  1050.086034177   -427.358479750  -342.103608549   403.879243914
     85   535.213512314   619.615983213   792.662225981   -321.250198344  -256.325220729   304.870086916
     86   576.496885768   667.146231667   655.589579252   -256.914805869  -187.184539793   252.149838174
     87   623.746811076   584.194541774   462.059686272   -228.205955796  -258.630778336   177.715263951
     88   433.012192643   856.634361094  1465.870278111   -103.684753258   222.178453243   563.796260812
     89 -1927.303525681  3066.378609913  4464.980815265  -1520.658087695  2320.635862762  1717.300313563
     90 -1174.008349779  1116.517877877 -5071.817663103  -1133.093455446   628.849796598 -1950.699101193
     91  -838.840847997  3180.982706528 -2139.508550820   -622.138779018  2470.033186001  -822.887904161
     92  -295.862978082   628.914929070   156.614532849   -844.940772403  -133.573151517    60.236358788
     93   747.207318724  1501.048521750   555.144430778   -348.332831350   231.545017132   213.517088761

Element                    Principal stresses             Von mises stress
number     1st principal    2nd principal   Angle
      1   537.206655334 -1267.742470619    -1.554819485   1605.241930306
      2 -1137.197705772 -1670.488182613    -1.323778946   1477.861313343
      3  1808.716668094  -385.284623017    -0.405015030   2028.982736690
      4  -309.501032057 -1382.148635397     1.203495728   1256.323728210
      5   349.801298074 -2831.444492696    -0.820504915   3021.569430333
      6 -1074.360690403 -2534.004244249     1.270607261   2202.951169141
      7  -700.248731403 -3568.445005187    -0.826703517   3274.957855135
      8   -35.257545055 -2725.239906280    -1.000671114   2707.783294964
      9   302.642927372 -2675.104828523    -1.512520140   2838.552472900
     10   -33.238168117 -1207.266700580    -1.527072576   1190.995519971
