 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
    62 -7875.602281293   -16.455872714      0.000000000     0.000000000
    63 -5739.832829682  1587.643128676      0.000000000     0.000000000
    64 -7013.351310009   989.613766442      0.000000000     0.000000000
    65 -7668.734182240  -157.091691631      0.000000000     0.000000000
    66 -3891.693264562 -1246.132168765      0.000000000     0.000000000
    67 -5625.882061680  -918.392003140      0.000000000     0.000000000
    68 -6836.454551608  -569.608883388      0.000000000     0.000000000
    69 -7206.027870790    55.000190340      0.000000000     0.000000000
    70 -7544.187280526    51.026589137      0.000000000     0.000000000
    71 -7472.783920347    56.137885387      0.000000000     0.000000000
    72 -7406.148147182    55.000443842      0.000000000     0.000000000
    73 -7339.479876323    54.985174921      0.000000000     0.000000000
    74 -7272.753059593    55.001322548      0.000000000     0.000000000
    75 -7206.028422443     0.000000000      0.000000000     0.000000000
    76 -7279.388737339     0.000000000      0.000000000     0.000000000
    77 -7352.754879534     0.000000000      0.000000000     0.000000000
    78 -7426.195597237     0.000000000      0.000000000     0.000000000
    79 -7498.863776466     0.000000000      0.000000000     0.000000000
    80 -7567.756876556     0.000000000      0.000000000     0.000000000
    81 -7740.399959977     0.000000000      0.000000000     0.000000000
    82 -7812.665994701     0.000000000      0.000000000     0.000000000
    83 -7882.034837739     0.000000000      0.000000000     0.000000000
    84 -5148.681652072   279.190214577      0.000000000     0.000000000
    85 -7077.743804821   258.670593230      0.000000000     0.000000000
    86 -6338.601978550   283.665384110      0.000000000     0.000000000
    87 -3910.036272762    41.851855119      0.000000000     0.000000000
    88   312.024738371 -5862.150250574      0.000000000     0.000000000
    89  1519.725954995 -3865.425713798      0.000000000     0.000000000
    90  1036.848684681 -5163.686308278      0.000000000     0.000000000
    91   -18.258522211 -5998.603014719      0.000000000     0.000000000
    92     0.000000000 -5251.064048403      0.000000000     0.000000000
    93     0.000000000 -6013.649629370      0.000000000     0.000000000
    94     0.000000000 -5910.098681722      0.000000000     0.000000000
    95     0.000000000 -5814.299355788      0.000000000     0.000000000
    96     0.000000000 -5614.198713028      0.000000000     0.000000000
    97     0.000000000 -5543.555727795      0.000000000     0.000000000
    98     0.000000000 -5471.146892244      0.000000000     0.000000000
